date,Battery (Charging) -  GWh,Pumps -  GWh,Exports -  GWh,Imports -  GWh,Coal (Black) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
1998-12-01,0.00,-18.76,0.00,0.00,3897.78,0.00,0.06,64.61,0.00,0.00,377.83,0.00,0.00,0.00,32.60,21.94,13.90,0.00,0.00,3584631.96,0.00,38.83,46233.31,2.91,0.00,20.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-01-01,0.00,-1.79,0.00,0.00,4881.90,0.00,0.00,83.11,0.00,0.00,467.86,0.00,0.00,0.00,31.10,23.42,18.30,0.00,0.00,4497421.12,0.00,0.00,59472.39,0.00,0.00,23.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-02-01,0.00,-2.32,0.00,0.00,4552.35,0.00,0.05,79.01,0.30,0.00,389.11,0.00,0.00,0.00,30.20,22.52,15.50,0.00,0.00,4189060.75,0.00,33.30,56474.56,261.45,0.00,20.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-03-01,0.00,-10.30,0.00,0.00,4924.53,0.00,0.02,88.35,0.01,0.00,380.64,0.00,0.00,0.00,30.40,22.14,11.50,0.00,0.00,4532843.62,0.00,14.21,63220.59,4.58,0.00,19.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-04-01,0.00,-3.27,0.00,0.00,4671.74,0.00,0.07,81.47,0.00,0.00,378.26,0.00,0.00,0.00,27.10,17.15,10.50,0.00,0.00,4281966.05,0.00,45.89,58296.41,0.00,0.00,28.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-05-01,0.00,-33.09,0.00,0.00,5303.49,0.00,0.00,85.77,0.00,0.00,377.44,0.00,0.00,0.00,23.50,16.04,6.80,0.00,0.00,4847790.34,0.00,0.00,61375.86,0.00,0.00,28.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-06-01,0.00,-23.41,0.00,0.00,5622.69,0.00,0.00,83.95,0.05,0.00,345.90,0.00,0.00,0.00,19.70,13.32,6.50,0.00,0.00,5155960.44,0.00,1.09,60064.59,43.47,0.00,31.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-07-01,0.00,-28.75,0.00,0.00,5499.55,0.00,0.00,86.82,0.03,0.00,459.79,0.00,0.00,0.00,21.20,13.08,7.00,0.00,0.00,5055901.00,0.00,0.00,62130.80,29.67,0.00,24.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-08-01,0.00,-0.09,0.00,0.00,5413.74,0.00,0.00,86.09,0.00,0.00,392.76,0.00,0.00,0.00,25.00,13.99,6.30,0.00,0.00,4979802.92,0.00,0.00,61605.74,0.00,0.00,25.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-09-01,0.00,0.00,0.00,0.00,4944.88,0.00,0.00,85.56,0.07,0.00,338.06,0.00,0.00,0.00,27.30,16.23,7.70,0.00,0.00,4566607.50,0.00,0.00,61163.17,60.06,0.00,19.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-10-01,0.00,-2.05,0.00,0.00,4806.16,0.00,0.02,84.26,0.00,0.00,374.71,0.00,0.00,0.00,32.10,18.43,10.90,0.00,0.00,4419964.73,0.00,15.24,60295.62,0.00,0.00,21.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-11-01,0.00,-3.08,0.00,0.00,4652.38,0.00,0.00,81.14,0.01,0.00,397.13,0.00,0.00,0.00,31.00,18.20,10.80,0.00,0.00,4285604.56,0.00,0.00,58023.78,6.25,0.00,21.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-12-01,0.00,-26.73,0.00,0.00,4729.63,0.00,0.00,85.73,0.01,0.00,364.77,0.00,0.00,0.00,26.50,20.36,13.70,0.00,0.00,4363410.92,0.00,0.00,61282.85,5.96,0.00,17.90,0.00,188563.96,0.00,0.00,23601422.48,0.00,0.00,431117.79,28.17,0.00,2177036.73,0.00,0.00,0.00
2000-01-01,0.00,-5.60,0.00,0.00,4992.59,0.00,0.00,85.70,0.02,0.00,342.48,0.00,0.00,0.00,34.70,20.90,14.80,0.00,0.00,4609472.08,0.00,0.00,60927.61,16.38,0.00,32.94,0.00,28402.39,0.00,0.00,46542867.04,0.00,0.00,817635.94,539.06,0.00,3014563.68,0.00,0.00,0.00
2000-02-01,0.00,-43.09,0.00,0.00,4956.27,0.00,0.01,85.08,0.20,0.00,480.32,0.00,0.00,0.00,32.90,23.03,16.40,0.00,0.00,4551098.16,0.00,10.12,60388.56,177.35,0.00,49.23,0.00,333540.37,0.00,0.00,56829300.16,0.00,70.02,1018135.28,4367.51,0.00,8343464.34,0.00,0.00,0.00
2000-03-01,0.00,-10.81,0.00,0.00,5093.12,0.00,0.00,89.00,0.00,0.00,431.98,0.00,0.00,0.00,30.00,21.46,16.10,0.00,0.00,4691977.37,0.00,0.00,63574.26,0.00,0.00,31.61,0.00,86864.69,0.00,0.00,40480219.31,0.00,0.00,723896.92,0.00,0.00,3841144.42,0.00,0.00,0.00
2000-04-01,0.00,-10.05,0.00,0.00,4687.49,0.00,0.00,76.79,0.00,0.00,324.69,0.00,0.00,0.00,28.80,18.85,9.20,0.00,0.00,4303200.82,0.00,0.00,54952.79,0.00,0.00,27.02,0.00,147242.12,0.00,0.00,34188221.17,0.00,0.00,564248.50,0.00,0.00,2121986.00,0.00,0.00,0.00
2000-05-01,0.00,-18.79,0.00,0.00,5553.11,0.00,0.00,88.52,0.05,0.00,363.58,0.00,0.00,0.00,25.40,15.49,7.50,0.00,0.00,5119107.29,0.00,0.00,63344.92,45.61,0.00,58.05,0.00,143640.28,0.00,0.00,61232958.11,0.00,0.00,957666.75,3763.78,0.00,6263094.61,0.00,0.00,0.00
2000-06-01,0.00,-35.20,0.00,0.00,5891.44,0.00,0.16,84.24,0.33,0.00,510.00,0.00,0.00,0.00,22.10,12.37,5.70,0.00,0.00,5417810.30,0.00,114.67,60283.06,286.43,0.00,43.70,0.00,243364.07,0.00,0.00,50874914.94,0.00,2438.96,719840.60,5409.10,0.00,5101512.96,0.00,0.00,0.00
