date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Coal (Brown) -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Battery (Discharging) -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Brown) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Coal (Brown) Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Battery (Discharging) Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
1998-12-01,0.00,0.00,0.00,280.12,2.31,225.82,88.58,8.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,317724.12,2458.36,130029.17,48250.36,7073.81,0.00,0.00,32.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-01-01,0.00,0.00,0.00,354.25,0.00,345.06,116.00,1.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,403938.09,0.00,198686.43,63185.42,1469.64,0.00,0.00,49.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-02-01,0.00,0.00,0.00,354.94,0.95,331.64,107.93,5.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,408877.00,1012.43,190958.70,58787.76,5104.93,0.00,0.00,79.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-03-01,0.00,0.00,0.00,378.31,0.00,233.89,122.27,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,433581.58,0.00,134671.11,66602.21,1812.14,0.00,0.00,46.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-04-01,0.00,0.00,0.00,160.85,0.54,350.19,118.17,5.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,189849.08,577.99,201638.36,64366.50,4659.37,0.00,0.00,93.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-05-01,0.00,0.00,0.00,221.13,0.29,394.82,123.11,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,265839.55,314.21,227336.77,67058.45,817.34,0.00,0.00,47.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-06-01,0.00,0.00,0.00,385.20,0.00,322.44,103.44,3.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,443284.96,0.00,185658.64,56342.36,3149.20,0.00,0.00,58.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-07-01,0.00,0.00,0.00,374.00,0.00,279.74,124.59,4.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,424843.52,0.00,161071.93,67865.19,3645.32,0.00,0.00,50.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-08-01,0.00,0.00,0.00,368.51,0.00,272.87,123.80,4.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,421913.15,0.00,157119.09,67434.91,4059.20,0.00,0.00,54.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-09-01,0.00,0.00,0.00,264.02,0.00,300.10,98.62,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,307377.25,0.00,172798.43,53716.91,1201.66,0.00,0.00,48.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-10-01,0.00,0.00,0.00,301.12,0.25,268.33,120.34,2.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,348639.60,263.70,154504.93,65551.42,2213.87,0.00,0.00,57.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-11-01,0.00,0.00,0.00,369.53,0.23,216.50,113.79,10.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,418436.40,249.39,124662.57,61980.29,9352.44,0.00,0.00,101.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-12-01,0.00,0.00,0.00,363.04,0.69,279.58,116.61,3.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,416301.95,735.84,160983.85,63517.88,3187.39,0.00,0.00,40.74,0.00,0.00,0.00,3775744.63,4800.62,3600047.88,1159756.81,39996.27,0.00,0.00,0.00,0.00,0.00
2000-01-01,0.00,0.00,0.00,394.92,0.14,330.91,116.31,14.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,454836.28,150.53,190537.04,63356.64,10920.01,0.00,0.00,51.72,0.00,0.00,0.00,5771767.46,9676.83,4547842.62,1722580.92,194969.52,0.00,0.00,0.00,0.00,0.00
2000-02-01,0.00,0.00,0.00,417.68,1.74,429.39,102.45,40.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,495841.11,1860.09,247245.34,50023.06,26813.18,0.00,0.00,148.09,0.00,0.00,0.00,10093436.49,323612.25,13309755.05,2606369.85,1681703.11,0.00,0.00,0.00,0.00,0.00
