date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Coal (Brown) -  GWh,Gas (Steam) -  GWh,Gas (OCGT) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Brown) Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Coal (Brown) Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (OCGT) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
1998-12-01,0.00,0.00,0.00,2997.69,7.77,8.44,0.00,121.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3837209.43,4217.22,6829.77,0.00,20.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-01-01,0.00,0.00,0.00,3997.70,4.14,7.26,0.00,151.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5128693.99,2249.94,5873.74,0.00,22.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-02-01,0.00,0.00,0.00,3798.21,18.05,2.18,0.00,115.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4910845.19,9798.54,1767.57,0.00,20.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-03-01,0.00,0.00,0.00,4244.41,19.42,0.90,0.00,46.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5470888.11,10546.14,730.00,0.00,19.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-04-01,0.00,0.00,0.00,4044.08,0.00,4.47,0.00,34.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5214287.60,2.13,3614.28,0.00,35.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-05-01,0.00,0.00,0.00,4136.65,12.20,12.62,0.00,19.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5330129.30,6626.72,10210.95,0.00,29.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-06-01,0.00,0.00,0.00,4106.11,36.06,20.07,0.00,42.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5278677.04,19582.35,16236.98,0.00,30.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-07-01,0.00,0.00,0.00,4492.18,84.03,23.50,0.00,39.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5807669.16,45628.81,19013.90,0.00,23.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-08-01,0.00,0.00,0.00,4301.55,183.52,17.35,0.00,49.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5581827.87,99652.85,14037.02,0.00,24.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-09-01,0.00,0.00,0.00,4139.72,46.09,6.52,0.00,57.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5360541.52,25024.95,5279.07,0.00,18.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
