date,Battery (Charging) -  GWh,Coal (Black) -  GWh,Bioenergy (Biogas) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biogas) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Battery (Charging) Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biogas) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2013-12-01,0.00,363.85,4.91,0.00,0.01,91.80,126.80,0.00,0.00,68.84,1.18,0.00,40.30,0.00,9.90,310699.07,363.14,9.90,36226.51,83144.66,654.78,0.00,16880631.40,227112.38,0.00,618.52,4350368.28,5999487.73,0.00,0.00,3068433.68,56587.55,0.00
2014-01-01,0.00,852.61,10.53,0.00,0.08,268.56,311.22,0.00,0.00,173.22,2.02,0.00,43.50,0.00,9.60,730023.95,782.17,47.98,104954.18,210747.03,646.73,0.00,49175951.19,571983.78,0.00,4745.95,15891434.01,19575812.21,0.00,0.00,8932214.45,129878.15,0.00
2014-02-01,0.00,774.99,9.52,0.00,0.03,238.26,302.39,0.00,0.00,156.75,2.03,0.00,37.90,0.00,13.30,664904.79,709.49,27.07,92791.41,202746.46,647.71,0.00,48804582.41,565022.61,0.00,2276.58,15284560.66,20220013.27,0.00,0.00,8425573.38,138673.50,0.00
2014-03-01,0.00,818.60,10.23,0.00,0.03,255.78,267.04,0.00,0.00,135.49,2.01,0.00,38.20,0.00,8.00,698257.16,762.63,25.61,100095.72,176067.33,654.86,0.00,49572442.27,592484.40,0.00,2988.32,16028979.88,16631881.81,0.00,0.00,7256009.77,131040.69,0.00
2014-04-01,0.00,662.29,9.79,0.00,1.13,276.67,231.63,0.00,0.00,105.23,1.78,0.00,35.00,0.00,5.60,562035.32,728.70,640.18,107739.87,152575.30,639.28,0.00,38916371.29,561511.51,0.00,71808.13,16586809.46,13989025.95,0.00,0.00,5637512.20,105563.35,0.00
2014-05-01,0.00,756.88,10.35,0.00,0.02,270.78,255.37,0.00,0.00,88.60,1.37,0.00,24.40,0.00,5.20,642757.27,771.99,13.52,105860.18,189545.67,678.74,0.00,45970470.75,611666.42,0.00,1120.90,16503693.93,15927627.62,0.00,0.00,4720594.19,80197.95,0.00
2014-06-01,0.00,699.75,9.22,0.00,0.24,275.36,362.36,0.00,0.00,132.21,1.47,0.00,24.90,0.00,1.00,601809.04,688.67,190.37,107491.32,261484.77,656.26,0.00,50978977.25,644350.06,0.00,25160.47,19553002.43,29091732.34,0.00,0.00,8209321.79,95299.53,0.00
2014-07-01,0.00,602.76,10.11,0.00,0.08,268.80,475.89,0.00,0.00,114.18,1.51,0.00,22.60,0.00,2.30,515243.31,752.49,43.29,104652.65,329959.62,645.24,0.00,41422828.51,680602.35,0.00,4720.52,19310487.25,35243207.45,0.00,0.00,7190264.36,95796.86,0.00
2014-08-01,0.00,670.31,11.10,0.00,0.00,260.99,357.41,0.00,0.00,113.68,1.66,0.00,26.80,0.00,3.10,566970.82,827.26,0.00,102295.47,241438.81,644.12,0.00,32810521.77,524089.13,0.00,0.00,13333925.63,18870024.40,0.00,0.00,4687852.54,77998.89,0.00
2014-09-01,0.00,676.04,11.03,0.00,0.80,255.83,251.52,0.00,0.00,121.11,1.67,0.00,34.50,0.00,4.20,567577.31,821.57,454.03,100117.25,168696.04,635.56,0.00,25964455.94,409616.73,0.00,31132.19,10330804.64,10122407.08,0.00,0.00,4039390.90,68849.11,0.00
